question_id,Strict-Hit@1,Strict-Hit@5,Strict-Hit@10,Strict-MRR@10,nDCG@10,model
q_0001,1.0,1.0,1.0,1.0,0.7871546029909718,Full adaptation
q_0002,1.0,1.0,1.0,1.0,0.8556691603792904,Full adaptation
q_0003,1.0,1.0,1.0,1.0,0.7871546029909718,Full adaptation
q_0004,1.0,1.0,1.0,1.0,0.7871546029909718,Full adaptation
q_0005,1.0,1.0,1.0,1.0,0.6735439182299784,Full adaptation
q_0006,1.0,1.0,1.0,1.0,0.6735439182299784,Full adaptation
q_0007,1.0,1.0,1.0,1.0,0.6735439182299784,Full adaptation
q_0008,0.0,0.0,0.0,0.0,0.0,Full adaptation
q_0009,1.0,1.0,1.0,1.0,0.6735439182299784,Full adaptation
q_0010,1.0,1.0,1.0,1.0,0.6735439182299784,Full adaptation
q_0011,0.0,1.0,1.0,0.20000000000000004,0.3045129678946485,Full adaptation
q_0012,1.0,1.0,1.0,1.0,0.6735439182299784,Full adaptation
q_0013,0.0,0.0,1.0,0.11428571428571427,0.2046367836304098,Full adaptation
q_0014,1.0,1.0,1.0,1.0,0.7871546029909718,Full adaptation
q_0015,1.0,1.0,1.0,1.0,0.7604397422803805,Full adaptation
q_0016,1.0,1.0,1.0,1.0,0.9095333176489385,Full adaptation
q_0017,0.0,0.0,0.0,0.0,0.0,Full adaptation
q_0018,1.0,1.0,1.0,1.0,0.6735439182299784,Full adaptation
q_0019,0.0,1.0,1.0,0.25,0.6875599495793138,Full adaptation
q_0020,1.0,1.0,1.0,1.0,0.7871546029909718,Full adaptation
q_0021,1.0,1.0,1.0,1.0,0.95583058934618,Full adaptation
q_0022,0.0,0.0,0.0,0.0,0.0,Full adaptation
q_0023,1.0,1.0,1.0,1.0,0.9402396560868356,Full adaptation
q_0024,1.0,1.0,1.0,1.0,0.7871546029909718,Full adaptation
q_0025,1.0,1.0,1.0,1.0,0.6735439182299784,Full adaptation
q_0026,0.0,1.0,1.0,0.20000000000000004,0.549224034804439,Full adaptation
q_0027,1.0,1.0,1.0,1.0,0.6735439182299784,Full adaptation
q_0028,1.0,1.0,1.0,1.0,0.7871546029909718,Full adaptation
q_0029,1.0,1.0,1.0,1.0,0.6735439182299784,Full adaptation
q_0030,1.0,1.0,1.0,1.0,0.6735439182299784,Full adaptation
q_0031,1.0,1.0,1.0,1.0,0.7428406317975517,Full adaptation
q_0032,0.6666666666666666,1.0,1.0,0.7777777777777777,0.6559621691591432,Full adaptation
q_0033,1.0,1.0,1.0,1.0,0.6735439182299784,Full adaptation
q_0034,1.0,1.0,1.0,1.0,0.7871546029909718,Full adaptation
q_0035,1.0,1.0,1.0,1.0,0.6735439182299784,Full adaptation
q_0036,1.0,1.0,1.0,1.0,0.7871546029909718,Full adaptation
q_0037,1.0,1.0,1.0,1.0,0.7871546029909718,Full adaptation
q_0038,1.0,1.0,1.0,1.0,0.7894302450214918,Full adaptation
q_0039,0.0,0.0,1.0,0.10833333333333334,0.20062505355181123,Full adaptation
q_0040,1.0,1.0,1.0,1.0,0.7871546029909718,Full adaptation
q_0041,1.0,1.0,1.0,1.0,0.6735439182299784,Full adaptation
q_0042,0.0,0.0,1.0,0.1666666666666666,0.2399211845064163,Full adaptation
q_0043,1.0,1.0,1.0,1.0,0.7871546029909718,Full adaptation
q_0044,0.0,1.0,1.0,0.25,0.3863001361616938,Full adaptation
q_0045,1.0,1.0,1.0,1.0,0.7978637366933587,Full adaptation
q_0046,0.0,1.0,1.0,0.5,0.606355969255108,Full adaptation
q_0047,1.0,1.0,1.0,1.0,0.7685267872092371,Full adaptation
q_0048,1.0,1.0,1.0,1.0,0.7871546029909718,Full adaptation
q_0049,1.0,1.0,1.0,1.0,0.6735439182299784,Full adaptation
q_0050,0.0,1.0,1.0,0.4444444444444444,0.39556325193725916,Full adaptation
q_0051,1.0,1.0,1.0,1.0,0.7013578976214955,Full adaptation
q_0052,1.0,1.0,1.0,1.0,0.6735439182299784,Full adaptation
