question_id,model,Strict-Hit@1,Strict-Hit@5,Strict-Hit@10,Strict-MRR@10,nDCG@10
q_0001,AliasAwareFusion,1.0,1.0,1.0,1.0,0.7871546029909718
q_0001,WithoutEntity,1.0,1.0,1.0,1.0,0.7871546029909718
q_0001,WithoutPhrase,1.0,1.0,1.0,1.0,0.7871546029909718
q_0001,WithoutText,1.0,1.0,1.0,1.0,0.9073218002554916
q_0002,AliasAwareFusion,1.0,1.0,1.0,1.0,0.8556691603792904
q_0002,WithoutEntity,1.0,1.0,1.0,1.0,0.8178747578506881
q_0002,WithoutPhrase,1.0,1.0,1.0,1.0,0.8556691603792904
q_0002,WithoutText,1.0,1.0,1.0,1.0,0.8556691603792904
q_0003,AliasAwareFusion,1.0,1.0,1.0,1.0,0.7871546029909718
q_0003,WithoutEntity,1.0,1.0,1.0,1.0,0.7871546029909718
q_0003,WithoutPhrase,1.0,1.0,1.0,1.0,0.7871546029909718
q_0003,WithoutText,1.0,1.0,1.0,1.0,0.7871546029909718
q_0004,AliasAwareFusion,1.0,1.0,1.0,1.0,0.7871546029909718
q_0004,WithoutEntity,0.0,1.0,1.0,0.5,0.4966392596877323
q_0004,WithoutPhrase,1.0,1.0,1.0,1.0,0.7871546029909718
q_0004,WithoutText,1.0,1.0,1.0,1.0,0.7871546029909718
q_0005,AliasAwareFusion,1.0,1.0,1.0,1.0,0.6735439182299784
q_0005,WithoutEntity,1.0,1.0,1.0,1.0,0.6735439182299784
q_0005,WithoutPhrase,1.0,1.0,1.0,1.0,0.6735439182299784
q_0005,WithoutText,1.0,1.0,1.0,1.0,0.6735439182299784
q_0006,AliasAwareFusion,1.0,1.0,1.0,1.0,0.6735439182299784
q_0006,WithoutEntity,1.0,1.0,1.0,1.0,0.6735439182299784
q_0006,WithoutPhrase,1.0,1.0,1.0,1.0,0.6735439182299784
q_0006,WithoutText,0.0,1.0,1.0,0.5,0.42495889834839423
q_0007,AliasAwareFusion,1.0,1.0,1.0,1.0,0.6735439182299784
q_0007,WithoutEntity,0.0,1.0,1.0,0.5,0.42495889834839423
q_0007,WithoutPhrase,1.0,1.0,1.0,1.0,0.6735439182299784
q_0007,WithoutText,1.0,1.0,1.0,1.0,0.6735439182299784
q_0008,AliasAwareFusion,0.0,0.0,0.0,0.0,0.0
q_0008,WithoutEntity,0.0,0.0,0.0,0.0,0.0
q_0008,WithoutPhrase,0.0,0.0,0.0,0.0,0.0
q_0008,WithoutText,0.0,0.0,0.0,0.0,0.0
q_0009,AliasAwareFusion,1.0,1.0,1.0,1.0,0.6735439182299784
q_0009,WithoutEntity,1.0,1.0,1.0,1.0,0.6735439182299784
q_0009,WithoutPhrase,1.0,1.0,1.0,1.0,0.6735439182299784
q_0009,WithoutText,1.0,1.0,1.0,1.0,0.6735439182299784
q_0010,AliasAwareFusion,1.0,1.0,1.0,1.0,0.6735439182299784
q_0010,WithoutEntity,1.0,1.0,1.0,1.0,0.6735439182299784
q_0010,WithoutPhrase,1.0,1.0,1.0,1.0,0.6735439182299784
q_0010,WithoutText,0.0,1.0,1.0,0.5,0.42495889834839423
q_0011,AliasAwareFusion,0.0,1.0,1.0,0.20000000000000004,0.3045129678946485
q_0011,WithoutEntity,0.0,1.0,1.0,0.3333333333333333,0.3935773014954859
q_0011,WithoutPhrase,0.0,0.0,0.0,0.0,0.0
q_0011,WithoutText,0.0,1.0,1.0,0.5,0.4966392596877323
q_0012,AliasAwareFusion,1.0,1.0,1.0,1.0,0.6735439182299784
q_0012,WithoutEntity,1.0,1.0,1.0,1.0,0.6735439182299784
q_0012,WithoutPhrase,1.0,1.0,1.0,1.0,0.6735439182299784
q_0012,WithoutText,0.0,1.0,1.0,0.5,0.42495889834839423
q_0013,AliasAwareFusion,0.0,0.0,1.0,0.11428571428571427,0.2046367836304098
q_0013,WithoutEntity,0.0,0.0,0.0,0.0,0.0
q_0013,WithoutPhrase,0.0,0.3333333333333333,1.0,0.16190476190476186,0.2365305447943351
q_0013,WithoutText,0.0,0.0,0.0,0.0,0.0
q_0014,AliasAwareFusion,1.0,1.0,1.0,1.0,0.7871546029909718
q_0014,WithoutEntity,1.0,1.0,1.0,1.0,0.7871546029909718
q_0014,WithoutPhrase,1.0,1.0,1.0,1.0,0.7871546029909718
q_0014,WithoutText,1.0,1.0,1.0,1.0,0.7871546029909718
q_0015,AliasAwareFusion,1.0,1.0,1.0,1.0,0.7604397422803805
q_0015,WithoutEntity,1.0,1.0,1.0,1.0,0.6735439182299784
q_0015,WithoutPhrase,1.0,1.0,1.0,1.0,0.7852134991855584
q_0015,WithoutText,1.0,1.0,1.0,1.0,0.6735439182299784
q_0016,AliasAwareFusion,1.0,1.0,1.0,1.0,0.9095333176489385
q_0016,WithoutEntity,0.0,1.0,1.0,0.5,0.6609482977673544
q_0016,WithoutPhrase,0.0,1.0,1.0,0.5,0.8579514172105233
q_0016,WithoutText,1.0,1.0,1.0,1.0,0.8041812624099595
q_0017,AliasAwareFusion,0.0,0.0,0.0,0.0,0.0
q_0017,WithoutEntity,0.0,0.0,0.0,0.0,0.0
q_0017,WithoutPhrase,0.0,0.0,0.0,0.0,0.0
